_messagetimems,_messagetime,requestpath,_raw
1694171953418,08/09/2023 16:49:13.418 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-08T11:19:13.4180015Z"",""@mt"":""=>S HTTP {RequestMethod} {RequestPath}"",""@l"":""Information"",""RequestMethod"":""GET"",""RequestPath"":""/api/v3/pricemodels"",""AdditionalData"":{""HttpRoute"":""/api/v3/pricemodels"",""HttpQuery"":""sellerType=fulfillers&sellerId=hjh8nrhpqx"",""HttpMethod"":""GET"",""HttpEndpoint"":""http://stg-productpricecore.ff.cimpress.io"",""HttpHeaders"":{""Accept"":""*/*"",""Host"":""stg-productpricecore.ff.cimpress.io"",""User-Agent"":""PostmanRuntime/7.32.3"",""Accept-Encoding"":""gzip, deflate, br"",""Authorization"":""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6Ik1qbENNemxCTnpneE1ETkJSVFpHTURFd09ETkRSalJGTlRSR04wTXpPRUpETnpORlFrUTROUSJ9.eyJodHRwczovL2NsYWltcy5jaW1wcmVzcy5pby90ZW5hbnRzIjpbIkNpbXByZXNzIFRlY2hub2xvZ3kiXSwiaHR0cHM6Ly9jbGFpbXMuY2ltcHJlc3MuaW8vYWNjb3VudCI6ImcyRXo1VmFvWldvcVUyMlhxUGpUTFUiLCJodHRwczovL2NsYWltcy5jaW1wcmVzcy5pby9jaW1wcmVzc19pbnRlcm5hbCI6dHJ1ZSwiaHR0cHM6Ly9jbGFpbXMuY2ltcHJlc3MuaW8vY2Fub25pY2FsX2lkIjoieTFkV29VMTdYQjZBcWRPaU8yeU5FNk83aTVpYUVTZzlAY2xpZW50cyIsImlzcyI6Imh0dHBzOi8vY2ltcHJlc3MuYXV0aDAuY29tLyIsInN1YiI6InkxZFdvVTE3WEI2QXFkT2lPMnlORTZPN2k1aWFFU2c5QGNsaWVudHMiLCJhdWQiOiJodHRwczovL2FwaS5jaW1wcmVzcy5pby8iLCJpYXQiOjE2OTQxNjIxODQsImV4cCI6MTY5NDI0ODU4NCwiYXpwIjoieTFkV29VMTdYQjZBcWRPaU8yeU5FNk83aTVpYUVTZzkiLCJndHkiOiJjbGllbnQtY3JlZGVudGlhbHMifQ.REDACTED"",""X-Forwarded-For"":""49.207.207.125"",""X-Forwarded-Proto"":""https"",""X-Forwarded-Port"":""443"",""X-Amzn-Trace-Id"":""Root=1-64fb0331-0c4e483a6c244443175bcf06"",""Postman-Token"":""4b1d6f16-4dae-4b91-afcc-c021a11cffd0"",""orion-correlation-id-root"":""2ef30357-9e9d-4192-9123-4d331b00a727"",""orion-correlation-id-parent"":""00000000-0000-0000-0000-000000000000""},""HttpBody"":"""",""HttpSourceIp"":""::ffff:10.55.24.178"",""UserName"":""y1dWoU17XB6AqdOiO2yNE6O7i5iaESg9@clients"",""MachineName"":""1a456198a670""},""SourceContext"":""FF.Middleware.Logging.LoggingMiddleware"",""CorrelationData"":{""RootId"":""2ef30357-9e9d-4192-9123-4d331b00a727"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""2ef30357-9e9d-4192-9123-4d331b00a727""}}"
1694004594343,06/09/2023 18:19:54.343 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:54.3432579Z"",""@mt"":""{HostingRequestFinishedLog:l}"",""@r"":[""Request finished HTTP/1.1 POST http://localhost:5000/api/v3/pricemodels?sellerType=fulfillers&sellerId=hjh8nrhpqx application/json;+charset=utf-8 - - 200 555 application/json;+charset=utf-8 86.1087ms""],""@l"":""Information"",""ElapsedMilliseconds"":86.1087,""StatusCode"":200,""ContentType"":""application/json; charset=utf-8"",""ContentLength"":555,""Protocol"":""HTTP/1.1"",""Method"":""POST"",""Scheme"":""http"",""Host"":""localhost:5000"",""PathBase"":"""",""Path"":""/api/v3/pricemodels"",""QueryString"":""?sellerType=fulfillers&sellerId=hjh8nrhpqx"",""HostingRequestFinishedLog"":""Request finished HTTP/1.1 POST http://localhost:5000/api/v3/pricemodels?sellerType=fulfillers&sellerId=hjh8nrhpqx application/json;+charset=utf-8 - - 200 555 application/json;+charset=utf-8 86.1087ms"",""EventId"":{""Id"":2},""SourceContext"":""Microsoft.AspNetCore.Hosting.Diagnostics"",""RequestId"":""0HMTEQUO3O6K6"",""RequestPath"":""/api/v3/pricemodels""}"
1694004594342,06/09/2023 18:19:54.342 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:54.3427826Z"",""@mt"":""Executed endpoint '{EndpointName}'"",""@l"":""Information"",""EndpointName"":""mvc"",""EventId"":{""Id"":1,""Name"":""ExecutedEndpoint""},""SourceContext"":""Microsoft.AspNetCore.Routing.EndpointMiddleware"",""RequestId"":""0HMTEQUO3O6K6"",""RequestPath"":""/api/v3/pricemodels"",""CorrelationData"":{""RootId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0""}}"
1694004594342,06/09/2023 18:19:54.342 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:54.3427456Z"",""@mt"":""Executed action {ActionName} in {ElapsedMilliseconds}ms"",""@l"":""Information"",""ActionName"":""ProductPrice.Svc.Controllers.PriceModelV3Controller.CreatePriceModel (ProductPrice.Svc)"",""ElapsedMilliseconds"":84.9483,""EventId"":{""Id"":2,""Name"":""ActionExecuted""},""SourceContext"":""Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker"",""RequestId"":""0HMTEQUO3O6K6"",""RequestPath"":""/api/v3/pricemodels"",""CorrelationData"":{""RootId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0""}}"
1694004594257,06/09/2023 18:19:54.257 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:54.2577048Z"",""@mt"":""Route matched with {RouteData}. Executing controller action with signature {MethodInfo} on controller {Controller} ({AssemblyName})."",""@l"":""Information"",""RouteData"":""{action = \""CreatePriceModel\"", controller = \""PriceModelV3\""}"",""MethodInfo"":""System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] CreatePriceModel(System.String, System.String, ProductPrice.Models.PriceModelV3.API.PriceModelRequest)"",""Controller"":""ProductPrice.Svc.Controllers.PriceModelV3Controller"",""AssemblyName"":""ProductPrice.Svc"",""EventId"":{""Id"":3,""Name"":""ControllerActionExecuting""},""SourceContext"":""Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker"",""ActionId"":""d6711ea6-543b-460e-ad40-01f1addf4a57"",""ActionName"":""ProductPrice.Svc.Controllers.PriceModelV3Controller.CreatePriceModel (ProductPrice.Svc)"",""RequestId"":""0HMTEQUO3O6K6"",""RequestPath"":""/api/v3/pricemodels"",""CorrelationData"":{""RootId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0""}}"
1694004594257,06/09/2023 18:19:54.257 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:54.2576601Z"",""@mt"":""Executing endpoint '{EndpointName}'"",""@l"":""Information"",""EndpointName"":""mvc"",""EventId"":{""Name"":""ExecutingEndpoint""},""SourceContext"":""Microsoft.AspNetCore.Routing.EndpointMiddleware"",""RequestId"":""0HMTEQUO3O6K6"",""RequestPath"":""/api/v3/pricemodels"",""CorrelationData"":{""RootId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""a6d2a668-fcd2-4552-a949-6d5d2bcf22e0""}}"
1694004594257,06/09/2023 18:19:54.257 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:54.2571230Z"",""@mt"":""{HostingRequestStartingLog:l}"",""@r"":[""Request starting HTTP/1.1 POST http://localhost:5000/api/v3/pricemodels?sellerType=fulfillers&sellerId=hjh8nrhpqx application/json;+charset=utf-8 -""],""@l"":""Information"",""Protocol"":""HTTP/1.1"",""Method"":""POST"",""ContentType"":""application/json; charset=utf-8"",""ContentLength"":null,""Scheme"":""http"",""Host"":""localhost:5000"",""PathBase"":"""",""Path"":""/api/v3/pricemodels"",""QueryString"":""?sellerType=fulfillers&sellerId=hjh8nrhpqx"",""HostingRequestStartingLog"":""Request starting HTTP/1.1 POST http://localhost:5000/api/v3/pricemodels?sellerType=fulfillers&sellerId=hjh8nrhpqx application/json;+charset=utf-8 -"",""EventId"":{""Id"":1},""SourceContext"":""Microsoft.AspNetCore.Hosting.Diagnostics"",""RequestId"":""0HMTEQUO3O6K6"",""RequestPath"":""/api/v3/pricemodels""}"
1694004593989,06/09/2023 18:19:53.989 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:53.9897010Z"",""@mt"":""Executed action {ActionName} in {ElapsedMilliseconds}ms"",""@l"":""Information"",""ActionName"":""ProductPrice.Svc.Controllers.PriceModelV3Controller.CreatePriceModel (ProductPrice.Svc)"",""ElapsedMilliseconds"":46.5928,""EventId"":{""Id"":2,""Name"":""ActionExecuted""},""SourceContext"":""Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker"",""RequestId"":""0HMTEQUO3O6K3"",""RequestPath"":""/api/v3/pricemodels"",""CorrelationData"":{""RootId"":""3ef49d47-3522-4c18-83aa-8b52f82b1c93"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""3ef49d47-3522-4c18-83aa-8b52f82b1c93""}}"
1694004593989,06/09/2023 18:19:53.989 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:53.9897186Z"",""@mt"":""Executed endpoint '{EndpointName}'"",""@l"":""Information"",""EndpointName"":""mvc"",""EventId"":{""Id"":1,""Name"":""ExecutedEndpoint""},""SourceContext"":""Microsoft.AspNetCore.Routing.EndpointMiddleware"",""RequestId"":""0HMTEQUO3O6K3"",""RequestPath"":""/api/v3/pricemodels"",""CorrelationData"":{""RootId"":""3ef49d47-3522-4c18-83aa-8b52f82b1c93"",""ParentId"":""00000000-0000-0000-0000-000000000000"",""LeafId"":""3ef49d47-3522-4c18-83aa-8b52f82b1c93""}}"
1694004593989,06/09/2023 18:19:53.989 +0530,/api/v3/pricemodels,"{""@t"":""2023-09-06T12:49:53.9899341Z"",""@mt"":""{HostingRequestFinishedLog:l}"",""@r"":[""Request finished HTTP/1.1 POST http://localhost:5000/api/v3/pricemodels?sellerType=fulfillers&sellerId=hjh8nrhpqx application/json;+charset=utf-8 - - 200 1025 application/json;+charset=utf-8 47.4139ms""],""@l"":""Information"",""ElapsedMilliseconds"":47.4139,""StatusCode"":200,""ContentType"":""application/json; charset=utf-8"",""ContentLength"":1025,""Protocol"":""HTTP/1.1"",""Method"":""POST"",""Scheme"":""http"",""Host"":""localhost:5000"",""PathBase"":"""",""Path"":""/api/v3/pricemodels"",""QueryString"":""?sellerType=fulfillers&sellerId=hjh8nrhpqx"",""HostingRequestFinishedLog"":""Request finished HTTP/1.1 POST http://localhost:5000/api/v3/pricemodels?sellerType=fulfillers&sellerId=hjh8nrhpqx application/json;+charset=utf-8 - - 200 1025 application/json;+charset=utf-8 47.4139ms"",""EventId"":{""Id"":2},""SourceContext"":""Microsoft.AspNetCore.Hosting.Diagnostics"",""RequestId"":""0HMTEQUO3O6K3"",""RequestPath"":""/api/v3/pricemodels""}"
